ZIP Code,Dest Zone,Beyond
04257,7,S
04259,7,F
04262,7,F
04268,7,F
04270,7,D
04274,7,O
04276,7,H
04280,7,P
04281,7,E
04282,7,P
04294,7,H
04330,7,F
04332,7,F
04333,7,F
04336,7,F
04338,7,F
04341,7,R
04344,7,F
04345,7,F
04346,7,F
04347,7,G
04351,7,R
04357,7,E
04363,7,R
04364,7,F
04401,7,N
04402,7,N
04408,7,BB
04410,7,Y
04411,7,O
04412,7,O
04414,7,AA
04416,7,O
04417,7,CC
04419,7,W
04421,7,Z
04422,7,Y
04423,7,AA
04426,7,#REF!
04427,7,X
04428,7,#REF!
04429,7,#REF!
04430,7,EE
04435,7,X
04438,7,Y
04443,7,#REF!
04444,7,#REF!
04448,7,CC
04449,7,#REF!
04450,7,#REF!
04453,7,BB
04456,7,#REF!
04457,7,DD
04458,7,DD
04459,7,EE
04460,7,EE
04461,7,#REF!
04462,7,FF
04463,7,Z
04467,7,AA
04468,7,#REF!
04469,7,#REF!
04472,7,X
04473,7,#REF!
04474,7,#REF!
04476,7,Y
04479,7,Y
04482,7,#REF!
04489,7,#REF!
04493,7,CC
04496,7,#REF!
04530,7,D
04536,7,G
04538,7,G
04543,7,F
04570,7,G
04572,7,E
04573,7,R
04578,7,P
04605,7,NaN
04609,7,R
04614,7,Z
04616,7,AA
04617,7,Z
04619,7,HH
04622,7,EE
04627,7,AA
04634,7,CC
04640,7,BB
04643,7,EE
04644,7,CC
04649,7,GG
04654,7,GG
04662,7,CC
04664,7,CC
04669,7,DD
04676,7,AA
04679,7,CC
04681,7,BB
04684,7,BB
04693,7,DD
04694,7,OO
04730,7,KK
04732,7,MM
04736,7,PP
04739,7,PP
04740,7,NN
04742,7,OO
04743,7,QQ
04747,7,HH
04751,7,PP
04756,7,SS
04758,7,MM
04760,7,LL
04765,7,HH
04768,7,NN
04769,7,OO
04776,7,GG
04785,7,RR
04786,7,NN
04841,7,I
04843,7,I
04847,7,I
04854,7,T
04856,7,H
04860,7,T
04861,7,S
04862,7,T
04864,7,S
04901,7,I
04903,7,H
04910,7,T
04911,7,V
04915,7,K
04918,7,S
04921,7,V
04923,7,W
04924,7,U
04926,7,T
04927,7,I
04928,7,W
04929,7,V
04930,7,N
04932,7,V
04937,7,T
04938,7,H
04939,7,X
04941,7,U
04943,7,V
04944,7,#REF!
04949,7,U
04950,7,U
04952,7,V
04953,7,#REF!
04957,7,U
04963,7,H
04965,7,V
04967,7,#REF!
04969,7,W
04971,7,V
04973,7,U
04974,7,#REF!
04976,7,#REF!
04981,7,W
04986,7,V
04988,7,U
04989,7,S
05001,7,J
05031,7,H
05032,7,H
05034,7,J
05036,7,F
05039,7,G
05044,7,H
05046,7,G
05047,7,I
05051,7,H
05055,7,J
05056,7,K
05059,7,J
05060,7,G
05065,7,H
05068,7,H
05072,7,I
05073,7,J
05074,7,J
05076,7,G
05077,7,G
05079,7,G
05081,7,H
05084,7,I
05088,7,J
05089,7,K
05091,7,I
05143,7,N
05144,7,N
05150,7,N
05156,7,M
05201,7,D
05250,7,F
05251,7,G
05252,7,F
05253,7,G
05254,7,G
05255,7,G
05257,7,D
05260,7,D
05261,7,D
05262,7,E
05301,7,L
05352,7,G
05401,7,A
05402,7,A
05403,7,A
05404,7,A
05405,7,A
05406,7,A
05407,7,A
05440,7,E
05441,7,E
05442,7,D
05443,7,D
05444,7,C
05445,7,B
05446,7,A
05447,7,F
05450,7,E
05452,7,A
05453,7,A
05454,7,C
05455,7,D
05456,7,C
05457,7,E
05458,7,C
05459,7,D
05460,7,E
05461,7,B
05463,7,E
05464,7,D
05465,7,B
05468,7,B
05470,7,F
05472,7,C
05476,7,F
05477,7,C
05478,7,C
05482,7,A
05483,7,D
05485,7,D
05486,7,B
05491,7,C
05492,7,D
05494,7,B
05495,7,A
05544,7,C
05602,7,D
05603,7,D
05604,7,D
05640,7,E
05641,7,E
05647,7,G
05648,7,F
05649,7,E
05652,7,E
05653,7,E
05654,7,E
05655,7,E
05656,7,D
05657,7,F
05658,7,F
05660,7,D
05661,7,E
05662,7,D
05663,7,E
05665,7,E
05667,7,E
05669,7,F
05672,7,D
05673,7,E
05674,7,E
05675,7,F
05676,7,C
05678,7,F
05680,7,F
05681,7,F
05682,7,E
05701,7,J
05731,7,H
05732,7,G
05733,7,F
05734,7,D
05735,7,G
05736,7,J
05737,7,G
05738,7,H
05739,7,H
05740,7,D
05741,7,H
05742,7,H
05743,7,G
05744,7,F
05745,7,E
05746,7,H
05747,7,F
05748,7,F
05750,7,G
05751,7,J
05753,7,E
05757,7,I
05759,7,G
05760,7,F
05761,7,H
05762,7,I
05763,7,F
05764,7,H
05765,7,G
05766,7,E
05768,7,F
05769,7,E
05770,7,E
05772,7,I
05773,7,H
05774,7,H
05775,7,H
05776,7,F
05777,7,G
05778,7,E
05819,7,H
05821,7,I
05822,7,H
05824,7,J
05826,7,G
05827,7,G
05828,7,G
05829,7,I
05830,7,I
05838,7,I
05839,7,I
05841,7,G
05842,7,H
05843,7,G
05845,7,G
05846,7,J
05847,7,F
05849,7,I
05851,7,I
05853,7,J
05855,7,H
05857,7,I
05859,7,H
05860,7,G
05861,7,H
05862,7,G
05874,7,G
05875,7,H
05907,7,K
06001,7,B
06002,7,B
06006,7,A
06010,7,D
06011,7,D
06013,7,C
06016,7,B
06018,7,E
06019,7,B
06020,7,B
06022,7,C
06023,7,C
06025,7,C
06026,7,A
06027,7,B
06028,7,B
06029,7,B
06030,7,C
06032,7,C
06033,7,C
06034,7,C
06035,7,A
06037,7,D
06039,7,E
06040,7,C
06041,7,C
06043,7,C
06045,7,C
06049,7,B
06050,7,C
06051,7,C
06052,7,C
06053,7,C
06057,7,C
06059,7,B
06060,7,B
06061,7,C
06062,7,C
06063,7,B
06064,7,A
06065,7,C
06066,7,C
06067,7,C
06069,7,F
06070,7,B
06071,7,B
06072,7,B
06073,7,C
06074,7,B
06075,7,C
06076,7,D
06077,7,D
06078,7,A
06081,7,A
06082,7,B
06083,7,B
06084,7,D
06085,7,C
06087,7,C
06088,7,B
06089,7,B
06090,7,A
06091,7,C
06092,7,B
06093,7,B
06094,7,C
06095,7,A
06096,7,A
06098,7,C
06101,7,B
06102,7,B
06103,7,B
06104,7,B
06105,7,B
06106,7,B
06107,7,C
06108,7,B
06109,7,C
06110,7,C
06111,7,C
06112,7,B
06114,7,B
06115,7,B
06117,7,C
06118,7,B
06119,7,C
06120,7,B
06123,7,B
06126,7,B
06127,7,C
06128,7,B
06129,7,C
06131,7,C
06132,7,B
06133,7,C
06134,7,B
06137,7,C
06138,7,B
06140,7,B
06141,7,B
06142,7,B
06143,7,B
06144,7,B
06145,7,B
06146,7,B
06150,7,B
06151,7,B
06152,7,B
06153,7,B
06154,7,B
06155,7,B
06156,7,B
06160,7,B
06161,7,C
06167,7,B
06176,7,B
06180,7,B
06183,7,B
06199,7,B
06226,7,E
06230,7,D
06231,7,D
06232,7,D
06233,7,D
06234,7,D
06235,7,E
06237,7,D
06238,7,D
06239,7,D
06241,7,D
06243,7,C
06244,7,F
06245,7,F
06246,7,E
06247,7,F
06248,7,D
06249,7,E
06254,7,E
06255,7,E
06256,7,E
06258,7,D
06259,7,F
06260,7,D
06262,7,F
06263,7,D
06267,7,F
06268,7,D
06277,7,E
06278,7,E
06279,7,D
06280,7,E
06282,7,F
06320,7,F
06330,7,E
06331,7,F
06332,7,D
06333,7,G
06334,7,E
06335,7,G
06336,7,E
06339,7,G
06340,7,E
06349,7,G
06350,7,G
06351,7,G
06353,7,F
06354,7,D
06355,7,E
06357,7,G
06359,7,D
06360,7,E
06370,7,F
06371,7,F
06372,7,H
06373,7,C
06374,7,D
06376,7,F
06377,7,H
06378,7,E
06379,7,D
06380,7,F
06382,7,G
06383,7,F
06384,7,G
06385,7,F
06386,7,F
06387,7,D
06388,7,H
06389,7,F
06401,7,G
06403,7,F
06404,7,G
06405,7,F
06410,7,E
06411,7,E
06412,7,E
06413,7,F
06414,7,D
06415,7,D
06416,7,C
06417,7,F
06418,7,F
06419,7,E
06420,7,E
06422,7,D
06423,7,E
06424,7,D
06426,7,F
06430,7,E
06431,7,H
06432,7,H
06437,7,G
06438,7,E
06439,7,F
06440,7,G
06441,7,D
06442,7,F
06443,7,F
06444,7,D
06447,7,D
06450,7,D
06451,7,D
06455,7,D
06456,7,D
06457,7,D
06460,7,G
06461,7,G
06466,7,G
06467,7,D
06468,7,G
06469,7,E
06470,7,G
06471,7,F
06472,7,F
06473,7,E
06475,7,F
06477,7,F
06478,7,F
06479,7,D
06480,7,D
06481,7,D
06482,7,G
06483,7,F
06484,7,F
06487,7,H
06488,7,F
06489,7,D
06490,7,E
06491,7,G
06492,7,E
06493,7,E
06494,7,E
06497,7,F
06498,7,F
06500,7,F
06501,7,F
06502,7,F
06503,7,F
06504,7,F
06505,7,F
06506,7,F
06507,7,F
06508,7,F
06509,7,F
06510,7,F
06511,7,F
06512,7,F
06513,7,F
06514,7,F
06515,7,F
06516,7,D
06517,7,F
06518,7,E
06519,7,F
06520,7,F
06521,7,F
06524,7,F
06525,7,F
06530,7,F
06531,7,F
06532,7,F
06533,7,F
06534,7,F
06535,7,F
06536,7,F
06537,7,F
06538,7,F
06540,7,F
06601,7,F
06602,7,F
06604,7,G
06605,7,F
06606,7,F
06607,7,F
06608,7,F
06610,7,F
06611,7,F
06612,7,F
06615,7,EE
06650,7,F
06673,7,F
06699,7,F
06701,7,E
06702,7,E
06703,7,E
06704,7,E
06705,7,E
06706,7,E
06708,7,E
06710,7,E
06712,7,E
06716,7,D
06720,7,E
06721,7,E
